               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053154,            0.046596,            0.022404,             0.85661,             0.50252,              0.5739,             0.29297,            0.030063,            0.032908,            0.019639,             0.00066,             0.00066,             0.09406
                   1,            0.037202,            0.033156,            0.018252,             0.87631,              0.5376,              0.6182,              0.3627,            0.025898,            0.029002,            0.017176,             0.00133,             0.00133,             0.08803
                   2,            0.035391,            0.031229,            0.015164,             0.89893,             0.56311,             0.66015,             0.37131,            0.026184,            0.027913,             0.01476,           0.0019998,           0.0019998,               0.082
                   3,            0.034829,             0.02847,            0.013646,             0.93016,             0.54011,             0.67368,             0.39787,            0.024281,            0.026587,            0.013763,           0.0026694,           0.0026694,            0.075969
                   4,              0.0358,            0.027415,            0.013319,             0.45555,             0.88569,             0.68333,             0.38062,            0.028396,            0.026352,            0.012215,           0.0033387,           0.0033387,            0.069939
                   5,            0.037316,            0.028571,            0.012488,             0.47272,             0.89833,             0.71127,             0.42292,             0.02515,            0.025922,            0.011446,           0.0040075,           0.0040075,            0.063908
                   6,            0.038831,             0.02904,            0.011934,             0.57234,             0.85043,             0.79015,             0.47513,            0.027605,            0.026261,            0.010703,           0.0046758,           0.0046758,            0.057876
                   7,            0.042099,            0.027932,             0.01121,             0.66687,             0.86694,             0.86692,              0.5016,            0.030882,            0.025288,            0.009761,           0.0053435,           0.0053435,            0.051844
                   8,            0.043878,            0.028379,            0.010475,             0.74185,             0.90308,             0.89563,             0.47752,            0.032033,            0.025477,           0.0082502,           0.0060105,           0.0060105,             0.04581
                   9,            0.042753,             0.02752,           0.0087468,             0.83575,             0.90775,             0.91804,             0.52986,            0.028602,            0.024803,            0.006121,           0.0066766,           0.0066766,            0.039777
                  10,            0.042543,            0.027311,           0.0079645,             0.87331,             0.91365,             0.93792,             0.50268,            0.031167,            0.025731,           0.0050342,           0.0073419,           0.0073419,            0.033742
                  11,            0.043399,             0.02813,           0.0066928,             0.76767,             0.75771,             0.81685,             0.40466,            0.032716,            0.024445,            0.004227,           0.0080061,           0.0080061,            0.027706
                  12,            0.044515,             0.02732,           0.0062537,             0.93788,              0.8374,             0.94494,             0.54343,              0.0323,            0.024605,           0.0034158,           0.0086691,           0.0086691,            0.021669
                  13,            0.042523,            0.025936,           0.0058038,             0.88657,             0.89936,             0.91382,             0.53549,            0.027182,            0.024261,           0.0034522,            0.009331,            0.009331,            0.015631
                  14,            0.042703,            0.026675,           0.0054533,             0.78074,             0.85601,             0.86524,             0.48454,            0.028879,            0.024003,           0.0030801,           0.0099517,           0.0099517,           0.0099517
                  15,            0.040418,             0.02654,           0.0048875,             0.80597,             0.90247,             0.89218,              0.5318,            0.029354,            0.023913,           0.0026558,           0.0099517,           0.0099517,           0.0099517
                  16,            0.039056,            0.026099,           0.0049454,             0.94824,             0.94842,              0.9738,             0.59885,            0.027863,            0.023035,           0.0027724,           0.0099446,           0.0099446,           0.0099446
                  17,            0.036324,            0.025137,           0.0040248,              0.9828,              0.9619,              0.9816,                0.66,            0.023712,            0.022534,           0.0023191,            0.009937,            0.009937,            0.009937
                  18,            0.036183,            0.025215,           0.0041588,             0.97769,              0.9505,             0.98012,             0.60702,            0.024954,            0.022467,           0.0024666,           0.0099289,           0.0099289,           0.0099289
